original_word,renamed_word
nebulaiq-telemetry-jattach,nebulaiq-telemetry-jattach
nebulaiq-telemetry-agent-gnzz6,nebulaiq-telemetry-agent-gnzz6
NebulaIQ-Telemetry-Agent,NebulaIQ-Telemetry-Agent
removeNebulaiqTelemetryPrefix,removeNebulaiqTelemetryPrefix
K8S_NODE_NAME_FOR_NEBULAIQ_TELEMETRY,K8S_NODE_NAME_FOR_NEBULAIQ_TELEMETRY
nebulaiq-telemetry-proto,nebulaiq-telemetry-proto
K8S_NAMESPACE_FOR_NEBULAIQ_TELEMETRY,K8S_NAMESPACE_FOR_NEBULAIQ_TELEMETRY
NebulaIQ-Telemetry-Server-Querier,NebulaIQ-Telemetry-Server-Querier
nebulaiq-telemetry-agent-kvdfq,nebulaiq-telemetry-agent-kvdfq
NebulaIQ-Telemetry,NebulaIQ-Telemetry
nebulaiqTelemetryNativeTagString,nebulaiqTelemetryNativeTagString
nebulaiq-telemetry-config,nebulaiq-telemetry-config
nebulaiq_telemetry_system__nebulaiq_telemetry_agent_monitor__create_time,nebulaiq_telemetry_system__nebulaiq_telemetry_agent_monitor__create_time
nebulaiq-telemetry-agent-1,nebulaiq-telemetry-agent-1
nebulaiq_telemetry_system_common,nebulaiq_telemetry_system_common
NebulaIQ-Telemetry-Server-Ingester,NebulaIQ-Telemetry-Server-Ingester
nebulaiq_telemetry_server_controller,nebulaiq_telemetry_server_controller
nebulaiq-telemetry-domain,nebulaiq-telemetry-domain
nebulaiq-telemetry-aget,nebulaiq-telemetry-aget
promql-nebulaiq-telemetry-metrics-tests,promql-nebulaiq-telemetry-metrics-tests
handleNebulaiqTelemetryStats,handleNebulaiqTelemetryStats
isNebulaiqTelemetryTag,isNebulaiqTelemetryTag
nebulaiq_telemetry_stats,nebulaiq_telemetry_stats
nebulaiq_telemetry_system__nebulaiq_telemetry_agent_monitor__max_memory,nebulaiq_telemetry_system__nebulaiq_telemetry_agent_monitor__max_memory
nebulaiq_telemetry_bpf_ctrl,nebulaiq_telemetry_bpf_ctrl
nebulaiq-telemetry-ctl,nebulaiq-telemetry-ctl
nebulaiq_telemetry_agent_collect_sender,nebulaiq_telemetry_agent_collect_sender
NEBULAIQ_TELEMETRY_AGENT_BEACON,NEBULAIQ_TELEMETRY_AGENT_BEACON
nebulaiq_telemetry_agent_dispatcher,nebulaiq_telemetry_agent_dispatcher
NebulaIQ-Telemetry-agent,NebulaIQ-Telemetry-agent
getNebulaiqTelemetrySystemLocalTables,getNebulaiqTelemetrySystemLocalTables
libnebulaiq_telemetry_agent,libnebulaiq_telemetry_agent
nebulaiq-telemetry,nebulaiq-telemetry
nebulaiq_telemetry_system_custom_field,nebulaiq_telemetry_system_custom_field
nebulaiq-temp,nebulaiq-temp
nebulaiq-telemetry-agent-role,nebulaiq-telemetry-agent-role
nebulaiq-telemetry-ingester,nebulaiq-telemetry-ingester
nebulaiq-telemetry-servers,nebulaiq-telemetry-servers
_nebulaiq_telemetry_,_nebulaiq_telemetry_
nebulaiq_telemetry_dimension_resource_ip,nebulaiq_telemetry_dimension_resource_ip
promql-nebulaiq-telemetry-metrics-query,promql-nebulaiq-telemetry-metrics-query
nebulaiq_telemetry_agent_queue,nebulaiq_telemetry_agent_queue
nebulaiq_telemetry_agent_log_counter,nebulaiq_telemetry_agent_log_counter
prefixNebulaiqTelemetry,prefixNebulaiqTelemetry
nebulaiq-telemetry-trident,nebulaiq-telemetry-trident
nebulaiq-agent_docker,nebulaiq-agent_docker
nebulaiq-telemetry-server,nebulaiq-telemetry-server
nebulaiq_telemetry_system_log__0_,nebulaiq_telemetry_system_log__0_
namespace-nebulaiq-telemetry,namespace-nebulaiq-telemetry
expectedNebulaiqTelemetryNativeTags,expectedNebulaiqTelemetryNativeTags
nebulaiq-telemetry-agent,nebulaiq-telemetry-agent
NebulaiqTelemetryStats,NebulaiqTelemetryStats
nebulaiq_telemetry_agent_collector,nebulaiq_telemetry_agent_collector
slave-nebulaiq-telemetry-ck,slave-nebulaiq-telemetry-ck
nebulaiqTelemetryDeploymentUUID,nebulaiqTelemetryDeploymentUUID
nebulaiq-telemetry-server-build-env,nebulaiq-telemetry-server-build-env
nebulaiq-telemetry-core,nebulaiq-telemetry-core
nebulaiq-telemetry-agent-group,nebulaiq-telemetry-agent-group
nebulaiq_telemetry_agent_monitor,nebulaiq_telemetry_agent_monitor
parseNebulaiqTelemetryTag,parseNebulaiqTelemetryTag
nebulaiq,nebulaiq
nebulaiq_telemetry_agent_flow_aggr,nebulaiq_telemetry_agent_flow_aggr
nebulaiq_telemetry_server,nebulaiq_telemetry_server
nebulaiq-telemetry-clickhouse,nebulaiq-telemetry-clickhouse
nebulaiq-telemetry-app相关配置,nebulaiq-telemetry-app相关配置
modNebulaiqTelemetrySystemTables,modNebulaiqTelemetrySystemTables
nebulaiq-telemetry-agent-ce,nebulaiq-telemetry-agent-ce
TestCase_ParsePromQL_Success_4_NebulaIQ_Telemetry_Metrics,TestCase_ParsePromQL_Success_4_NebulaIQ_Telemetry_Metrics
nebulaiq_telemetry_agent_l7_session_aggr,nebulaiq_telemetry_agent_l7_session_aggr
nebulaiq_telemetry_agent_quadruple_generator,nebulaiq_telemetry_agent_quadruple_generator
GetNebulaiqTelemetryServerInstances,GetNebulaiqTelemetryServerInstances
nebulaiq-telemetry-agent-ctl,nebulaiq-telemetry-agent-ctl
nebulaiq-telemetry-agent-conf,nebulaiq-telemetry-agent-conf
prometheus_nebulaiq_telemetry,prometheus_nebulaiq_telemetry
nebulaiqTelemetryStats,nebulaiqTelemetryStats
nebulaiq-telemetry-cli,nebulaiq-telemetry-cli
nebulaiq_telemetry_server_controller_genesis_k8sinfo_delay,nebulaiq_telemetry_server_controller_genesis_k8sinfo_delay
NebulaiqTelemetryServerInstanceInfo,NebulaiqTelemetryServerInstanceInfo
K8S_NODE_IP_FOR_NEBULAIQ_TELEMETRY,K8S_NODE_IP_FOR_NEBULAIQ_TELEMETRY
NebulaIQ-Telemetry-Collector,NebulaIQ-Telemetry-Collector
nebulaiq-telemetry-cli-build-env,nebulaiq-telemetry-cli-build-env
nebulaiq-telemetry-server-arm-main,nebulaiq-telemetry-server-arm-main
nebulaiq-telemetry-app,nebulaiq-telemetry-app
nebulaiq_telemetry,nebulaiq_telemetry
allNebulaiqTelemetryNativeTags,allNebulaiqTelemetryNativeTags
nebulaiq-telemetry-agent-cm,nebulaiq-telemetry-agent-cm
NEBULAIQ_TELEMETRY_SYSTEM_TABLE,NEBULAIQ_TELEMETRY_SYSTEM_TABLE
ColumnAddNebulaV641,ColumnAddNebulaV641
nebulaiq_telemetry_server_instances,nebulaiq_telemetry_server_instances
DB_NAME_NEBULAIQ_TELEMETRY_SYSTEM,DB_NAME_NEBULAIQ_TELEMETRY_SYSTEM
nebulaiq-telemetry-agent-ee,nebulaiq-telemetry-agent-ee
NEBULAIQ_TELEMETRY_TOOL,NEBULAIQ_TELEMETRY_TOOL
